dataset,split,sample_id,method,rule_leakage,judge_leakage,final_leakage,leakage_conflict,judge_leakage_coverage,leakage_matched_rules,leakage_hit_count
mathdial,test,mathdial:c675820a6ed81635727a,ours_full,False,,False,,0.0,,0
mathdial,test,mathdial:c675820a6ed81635727a,ablate_risk_estimator,False,,False,,0.0,,0
mathdial,test,mathdial:c675820a6ed81635727a,ablate_qos_routing,False,,False,,0.0,,0
mathdial,test,mathdial:c675820a6ed81635727a,ablate_budget_controller,False,,False,,0.0,,0
mathdial,test,mathdial:c675820a6ed81635727a,ablate_leakage_risk,False,,False,,0.0,,0
mathdial,test,mathdial:c675820a6ed81635727a,ablate_misconception_risk,False,,False,,0.0,,0
mathdial,test,mathdial:c675820a6ed81635727a,ablate_state_conflict_risk,False,,False,,0.0,,0
mathdial,test,mathdial:c675820a6ed81635727a,ablate_state_commit,False,,False,,0.0,,0
mathdial,test,mathdial:c675820a6ed81635727a,ablate_confidence_weighted_commit,False,,False,,0.0,,0
mathdial,test,mathdial:c675820a6ed81635727a,replace_pedagogical_risk_with_difficulty,False,,False,,0.0,,0
mathdial,test,mathdial:c675820a6ed81635727a,replace_two_phase_commit_with_naive_memory,False,,False,,0.0,,0
mathdial,test,mathdial:ac1b34fa454f3273d1e8,ours_full,False,,False,,0.0,,0
mathdial,test,mathdial:ac1b34fa454f3273d1e8,ablate_risk_estimator,False,,False,,0.0,,0
mathdial,test,mathdial:ac1b34fa454f3273d1e8,ablate_qos_routing,False,,False,,0.0,,0
mathdial,test,mathdial:ac1b34fa454f3273d1e8,ablate_budget_controller,False,,False,,0.0,,0
mathdial,test,mathdial:ac1b34fa454f3273d1e8,ablate_leakage_risk,False,,False,,0.0,,0
mathdial,test,mathdial:ac1b34fa454f3273d1e8,ablate_misconception_risk,False,,False,,0.0,,0
mathdial,test,mathdial:ac1b34fa454f3273d1e8,ablate_state_conflict_risk,False,,False,,0.0,,0
mathdial,test,mathdial:ac1b34fa454f3273d1e8,ablate_state_commit,False,,False,,0.0,,0
mathdial,test,mathdial:ac1b34fa454f3273d1e8,ablate_confidence_weighted_commit,False,,False,,0.0,,0
mathdial,test,mathdial:ac1b34fa454f3273d1e8,replace_pedagogical_risk_with_difficulty,False,,False,,0.0,,0
mathdial,test,mathdial:ac1b34fa454f3273d1e8,replace_two_phase_commit_with_naive_memory,False,,False,,0.0,,0
mathdial,test,mathdial:931d90376952d8618274,ours_full,False,,False,,0.0,,0
mathdial,test,mathdial:931d90376952d8618274,ablate_risk_estimator,False,,False,,0.0,,0
mathdial,test,mathdial:931d90376952d8618274,ablate_qos_routing,False,,False,,0.0,,0
mathdial,test,mathdial:931d90376952d8618274,ablate_budget_controller,False,,False,,0.0,,0
mathdial,test,mathdial:931d90376952d8618274,ablate_leakage_risk,False,,False,,0.0,,0
